periodo,long,lat,denominacion_evento,fecha,horario,capacidad,disposicion_autorizante,predio,domicilio,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
201904,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,"5, 12, 19 y 26/4","de 19,30 a 04,30 hrs",2000,DI-2019-2667-GCABA-DGHP,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201904,-58.458245,-34.545782,SILVESTRE DANGOND,2019-04-05 00:00:00,"de 21,00 a 03,00 hrs.",4376,DI-2019-2638-GCABA-DGHP,Estadio Obras Sanitarias,Avda. del Libertador 7395,DEL LIBERTADOR AV.,7395,Nu\u00f1ez,Comuna 13,1429,C1429BMG
201904,-58.448246,-34.590964,MAPA FERIA DE ARTE,11 al 15/4/2019,"de 15,00 a 22,00 hrs.","999 asistentes el 11/4 y 499 por jornada, para el resto de las fechas",DI-2019-2794-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201904,-58.425274,-34.570423,PABLO ALBORAN,2019-04-13 00:00:00,"de 17,00 a 01,00 hrs.",9980,DI-2019-2797-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 4031,DEL LIBERTADOR AV.,4031,Palermo,Comuna 14,1426,C1426BWB
201904,-58.42043,-34.569591,ANUEL AA Y KAROL G ,2019-04-27 00:00:00,"de 17,00 a 01,00 hrs.",12453,DI-2019-3032-GCABA-DGHP,GEBA - NEWBERY,Marcelino Freyre 3831,"FREYRE, MARCELINO E., CNEL. AV.",3831,Palermo,Comuna 14,,
201904,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-04-28 00:00:00,"de 07,00 a 19,00 hrs.",1000,DI-2019-3042-GCABA-DGHP,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201904,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,"5, 12, 19 y 26/4","de 19,30 a 04,30 hrs",2000,DI-2019-2667-GCABA-DGHP,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201904,-58.458245,-34.545782,SILVESTRE DANGOND,2019-04-05 00:00:00,"de 21,00 a 03,00 hrs.",4376,DI-2019-2638-GCABA-DGHP,Estadio Obras Sanitarias,Avda. del Libertador 7395,DEL LIBERTADOR AV.,7395,Nu\u00f1ez,Comuna 13,1429,C1429BMG
201904,-58.448246,-34.590964,MAPA FERIA DE ARTE,11 al 15/4/2019,"de 15,00 a 22,00 hrs.","999 asistentes el 11/4 y 499 por jornada, para el resto de las fechas",DI-2019-2794-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201904,-58.425274,-34.570423,PABLO ALBORAN,2019-04-13 00:00:00,"de 17,00 a 01,00 hrs.",9980,DI-2019-2797-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 4031,DEL LIBERTADOR AV.,4031,Palermo,Comuna 14,1426,C1426BWB
201904,-58.42043,-34.569591,ANUEL AA Y KAROL G ,2019-04-27 00:00:00,"de 17,00 a 01,00 hrs.",12453,DI-2019-3032-GCABA-DGHP,GEBA - NEWBERY,Marcelino Freyre 3831,"FREYRE, MARCELINO E., CNEL. AV.",3831,Palermo,Comuna 14,,
201904,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-04-28 00:00:00,"de 07,00 a 19,00 hrs.",1000,DI-2019-3042-GCABA-DGHP,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201905,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-05-01 00:00:00,"de 08,00 a 19,00 hrs.",1800,DI-2019-3058-GCABA-DGHP,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
